peak,assignment
415,Phosphatidylinositol
418,Cholesterol
428,"Symmetric stretching vibration of $v_2 PO_4^{3-}$
phosphate of HA"
429,"Cholesterol, cholesterol ester"
445,"N-C-S stretch (one of three thiocyanate peaks, with 2095 & 735 cm)"
447,Ring torsion of phenyl(2)
454,Ring torsion of phenyl(2)
477,"Polysaccharides, amylose
Polysaccharides, amylopectin"
481,DNA
484,Glycogen
490,Glycogen
505,C-OH3 torsion of methoxy group(1)
508,C-OH3 torsion of methoxy group(1)
509,"S-S disulfide stretching band of collagen
v(S-S) gauche-gauche-gauche (aminoacid cysteine)"
519,Phosphatidylinositol
524,"S-S disulfide stretching in proteins
Phosphatidylserine
v(S-S) gauche-gauche-trans (aminoacid cysteine)"
538,Cholesterol ester
540,v(S-S) trans-gauche-trans (aminoacid cysteine)
548,Cholesterol
540,Glucose-saccharide band (overlaps with acyl band)
573,"Tryptophan/cytosine, guanine"
576,Phosphatidylinositol
583,OH out of plane bending (free)
586,OH out of plane bending (free)
589,"Symmetric stretching vibration of $v_4 PO_4^{3-}$
Glycerol
phosphate of HA"
596,Phosphatidylinositol
607,Glycerol
608,Cholesterol
614,Cholesterol ester
618,C-C twisting (protein)
620,C-C twist aromatic ring (one of C-C vibrations to be expected in aromatic structure of xylene)
621,C-C twisting mode of phenylalanine (proteins)
630,Glycerol
640,C-S stretching & C-C twisting of proteinstyrosine
643,C-C twisting mode of tyrosine
645,C-C twisting mode of phenylalanine (proteins)
646,C-C twisting mode of tyrosine
662,C-S stretching mode of cystine (collagen type I)
666,"G, T (ring breathing modes in the DNA bases)tyrosine-G backbone in RNA"
667,"C-S stretching mode of cystine (collagen type I)
T, G (DNA/RNA)"
669,C-S stretching mode of cytosine
669,"v_7(δ: porphyrin deformation), observed in the spectra of single human RBC"
678,"Ring breathing modes in the DNA bases
G (ring breathing modes in the DNA bases)/C-2’-endo-anti"
702,"Cholesterol, cholesterol ester"
717,"C-N (membrane phospholipids head)/adenine
$CN^{-}(CH_3)_3$ (lipids)
Choline group"
718,C-N (membrane phospholipid head)/nucleotide peak
719,"Symmetric stretch vibration of choline group N^{+}(CH_3)_3, characteristic for phospholipids
Phosphatidylcholine, sphengomyelin
C-C-N+ symmetric stretching in phosphatidylcholine (lipid assignment)"
720,DNA
722,DNA
725,A (ring breathing mode of DNA/RNA bases)
726,"C-S (protein), CH2 rocking, adenine"
727,"C-C stretching, proline (collagen assignment)"
729,A
733,Phosphatidylserine
735,"C-S stretch (one of three thiocyanate peaks, with 2095 & 445 cm)"
746,T (ring breathing mode of DNA/RNA bases)
748,DNA
749,Symmetric breathing of tryptophan (protein assignment)
750,"CH2,6 out-of-plane bending, observed in the spectra of single human RBC
Lactic acid"
752,"v_{15} (Porphyrin breathing mode, the most informative about the status of RBC & a direct measure of the heme groups of the hemoglobins)
DNA"
752,Symmetric breathing of tryptophan (protein assignment)
755,Symmetric breathing of tryptophan
759,"Tryptophan
Ethanolamine group
Phosphatidylethanolamine"
760,"Tryptophan, δ(ring)
Ring breathing tryptophan (proteins)"
766,Pyrimidine ring breathing mode
776,Phosphatidylinositol
780,Uracil based ring breathing mode
781,Cytosine/uracil ring breathing (nucleotide)
782,"DNA
Thymine, cytosine, uracil
RNA
U, T, C (ring breathing modes in the DNA/RNA bases)"
784,Phosphodiester; cytosine
785,"U, T, C (ring breathing modes in the DNA/RNA bases)
Backbone O-P-O"
786,"DNA: O-P-O, cytosine, uracil, thymine
Pyrimidine ring breathing mode"
787,"Can be taken as a measure for the relative quantity of nucleic acids present
Phosphatidylserine"
788,"$C'_5 -O-P-O-C'_3$ phosphodiester bands in DNA
DNA
O-P-O stretching DNA"
802,Uracil-based ring breathing mode
810,Phosphodiester (Z-marker)
811,O-P-O stretching RNA
812,Phosphodiester (Z-marker)
813,One of the two most distinct peaks for RNA (with1240 cm-1)
813,"C-C stretching (collagen assignment)
$C'_5 -O-P-O-C'_3$ phosphodiester bands in RNA
RNA"
815,"Proline, hydroxyproline, tyrosine, $v_2 PO_2^{-}$ stretch of nucleic acids"
817,C-C stretching (collagen assignment)
820,"Protein band
Structural protein modes of tumors
Proteins, including collagen I"
822,Phosphodiester
823,"Out-of-plane ring breathing, tyrosine (protein assignment)
Phosphodiester"
826,O-P-O stretch DNA
827,"Proline, hydroxyproline, tyrosine, $v_2 PO_2^{-}$ stretch of nucleic acids"
828,"Out-of-plane ring breathing, tyrosine/O-P-O stretch DNA
Phosphodiester
O-P-O stretching DNA/RNA
Ring breathing tyrosine"
830,"Proline, hydroxyproline, tyrosine, $v_2 PO_2^{-}$ stretch of nucleic acids
C-H out of plane bending in benzoid ring
Tyrosine (Fermi resonance of ring fundamental and overtone)"
